measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2013,113754.14678415495,123030.60897645609,94571.54337040374
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2013,81447.34750212535,91518.4754794409,56881.51904761955
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2014,111939.66790592753,121552.56532158895,92748.18419871615
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2014,76686.73305571458,86087.62093134175,53177.92348344314
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2012,113973.40365016984,123795.48670000474,92352.18321227682
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2012,82486.40041338374,91517.25508005761,59084.61481389882
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2015,109215.40221884547,118986.10830656154,88991.08926642225
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2015,75444.18885433214,85588.49667961977,52037.88485075346
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2018,112730.81632675843,123865.85623794462,95672.42637342152
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2018,73324.1779496099,82590.76931308511,51714.89132965363
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2016,109140.61373058576,119455.81707426082,90929.77576275864
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2016,76675.2304490221,86409.90780261207,53352.73179707085
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2019,112132.14408125999,124786.28471900648,93137.98989655795
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2019,71164.23950759789,80632.81558700051,51373.77012720826
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2017,112461.39152103254,122635.89242418272,91749.3035444356
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2017,78168.74437034532,87475.29923935879,55199.9328199398
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2021,113709.54607477113,130707.94170398082,94290.29415730377
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2021,74868.80550896266,87671.81427089545,53184.62729278217
1,Deaths,163,India,1,Male,22,All ages,718,Self-harm,1,Number,2020,112782.08298223188,126992.93359536979,92257.48478446885
1,Deaths,163,India,2,Female,22,All ages,718,Self-harm,1,Number,2020,73412.82188530892,86142.27519312924,52510.21679670738
